y_mm \ x_mm,-39.00,-38.00,-37.00,-36.00,-35.00,-34.00,-33.00,-32.00,-31.00,-30.00,-29.00,-28.00,-27.00,-26.00,-25.00,-24.00,-23.00,-22.00,-21.00,-20.00,-19.00,-18.00,-17.00,-16.00,-15.00,-14.00,-13.00,-12.00,-11.00,-10.00,-9.00,-8.00,-7.00,-6.00,-5.00,-4.00,-3.00,-2.00,-1.00,0.00,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00,43.00,44.00,45.00
34.00,0.0008,0.0012,0.0020,0.0030,0.0041,0.0050,0.0056,0.0069,0.0092,0.0117,0.0145,0.0187,0.0240,0.0297,0.0358,0.0423,0.0494,0.0573,0.0662,0.0733,0.0786,0.0880,0.1015,0.1111,0.1171,0.1249,0.1345,0.1452,0.1570,0.1639,0.1659,0.1721,0.1822,0.1894,0.1936,0.1966,0.1985,0.1998,0.2006,0.1982,0.1926,0.1873,0.1823,0.1765,0.1697,0.1608,0.1497,0.1395,0.1301,0.1200,0.1091,0.0967,0.0829,0.0715,0.0625,0.0551,0.0493,0.0420,0.0333,0.0270,0.0230,0.0189,0.0145,0.0114,0.0093,0.0074,0.0055,0.0044,0.0040,0.0032,0.0020,0.0013,0.0010,0.0008,0.0005,0.0004,0.0003,0.0003,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0001
33.00,0.0015,0.0020,0.0028,0.0037,0.0049,0.0061,0.0074,0.0096,0.0126,0.0161,0.0203,0.0251,0.0305,0.0370,0.0447,0.0533,0.0629,0.0733,0.0844,0.0948,0.1044,0.1165,0.1310,0.1439,0.1550,0.1670,0.1797,0.1922,0.2045,0.2142,0.2214,0.2300,0.2399,0.2474,0.2526,0.2548,0.2541,0.2552,0.2581,0.2577,0.2542,0.2480,0.2389,0.2310,0.2243,0.2125,0.1957,0.1817,0.1701,0.1577,0.1443,0.1288,0.1114,0.0962,0.0833,0.0723,0.0630,0.0535,0.0436,0.0358,0.0298,0.0244,0.0194,0.0157,0.0132,0.0106,0.0078,0.0061,0.0055,0.0047,0.0036,0.0026,0.0017,0.0011,0.0008,0.0007,0.0007,0.0006,0.0005,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003
32.00,0.0022,0.0028,0.0035,0.0044,0.0057,0.0073,0.0093,0.0122,0.0160,0.0206,0.0260,0.0314,0.0369,0.0443,0.0536,0.0644,0.0765,0.0892,0.1026,0.1163,0.1302,0.1450,0.1606,0.1766,0.1930,0.2091,0.2249,0.2392,0.2519,0.2645,0.2769,0.2879,0.2976,0.3054,0.3116,0.3130,0.3098,0.3107,0.3155,0.3173,0.3160,0.3087,0.2955,0.2856,0.2789,0.2643,0.2418,0.2238,0.2102,0.1954,0.1795,0.1610,0.1398,0.1209,0.1042,0.0895,0.0768,0.0649,0.0540,0.0445,0.0366,0.0299,0.0243,0.0200,0.0171,0.0138,0.0100,0.0078,0.0071,0.0062,0.0051,0.0038,0.0024,0.0015,0.0011,0.0009,0.0010,0.0009,0.0008,0.0007,0.0006,0.0005,0.0004,0.0003,0.0004
31.00,0.0023,0.0031,0.0041,0.0054,0.0073,0.0092,0.0110,0.0148,0.0206,0.0266,0.0330,0.0404,0.0488,0.0585,0.0694,0.0826,0.0979,0.1143,0.1319,0.1500,0.1686,0.1882,0.2091,0.2289,0.2479,0.2673,0.2871,0.3056,0.3227,0.3385,0.3530,0.3668,0.3800,0.3900,0.3970,0.3993,0.3970,0.3978,0.4018,0.4024,0.3998,0.3908,0.3756,0.3618,0.3495,0.3327,0.3116,0.2905,0.2696,0.2472,0.2235,0.2003,0.1776,0.1553,0.1335,0.1147,0.0986,0.0841,0.0710,0.0589,0.0478,0.0388,0.0318,0.0259,0.0211,0.0169,0.0133,0.0107,0.0090,0.0075,0.0062,0.0046,0.0028,0.0017,0.0015,0.0013,0.0012,0.0010,0.0007,0.0005,0.0004,0.0003,0.0003,0.0002,0.0003
30.00,0.0025,0.0035,0.0047,0.0065,0.0090,0.0111,0.0127,0.0174,0.0251,0.0327,0.0401,0.0494,0.0607,0.0726,0.0852,0.1008,0.1193,0.1394,0.1612,0.1837,0.2069,0.2315,0.2575,0.2812,0.3027,0.3254,0.3494,0.3721,0.3935,0.4125,0.4290,0.4456,0.4623,0.4746,0.4824,0.4855,0.4842,0.4850,0.4880,0.4874,0.4835,0.4729,0.4556,0.4380,0.4200,0.4011,0.3814,0.3573,0.3291,0.2991,0.2674,0.2396,0.2154,0.1898,0.1629,0.1398,0.1204,0.1032,0.0881,0.0734,0.0591,0.0478,0.0393,0.0317,0.0251,0.0200,0.0166,0.0135,0.0109,0.0088,0.0073,0.0053,0.0031,0.0019,0.0018,0.0017,0.0016,0.0012,0.0006,0.0002,0.0002,0.0002,0.0001,0.0001,0.0002
29.00,0.0026,0.0037,0.0052,0.0075,0.0106,0.0138,0.0171,0.0227,0.0308,0.0396,0.0494,0.0607,0.0733,0.0886,0.1064,0.1254,0.1456,0.1691,0.1959,0.2243,0.2544,0.2848,0.3155,0.3443,0.3713,0.4000,0.4302,0.4575,0.4820,0.5051,0.5269,0.5470,0.5653,0.5808,0.5936,0.5981,0.5945,0.5934,0.5948,0.5938,0.5905,0.5784,0.5575,0.5357,0.5130,0.4882,0.4615,0.4328,0.4024,0.3680,0.3297,0.2960,0.2669,0.2363,0.2043,0.1758,0.1509,0.1283,0.1080,0.0907,0.0762,0.0632,0.0518,0.0419,0.0335,0.0266,0.0213,0.0172,0.0141,0.0114,0.0089,0.0067,0.0047,0.0033,0.0023,0.0018,0.0018,0.0016,0.0010,0.0006,0.0003,0.0002,0.0002,0.0002,0.0003
28.00,0.0026,0.0039,0.0058,0.0086,0.0123,0.0165,0.0214,0.0280,0.0364,0.0467,0.0588,0.0719,0.0859,0.1045,0.1276,0.1501,0.1720,0.1989,0.2306,0.2650,0.3019,0.3381,0.3734,0.4074,0.4399,0.4745,0.5111,0.5430,0.5704,0.5977,0.6249,0.6484,0.6682,0.6870,0.7048,0.7106,0.7048,0.7018,0.7016,0.7001,0.6975,0.6838,0.6593,0.6334,0.6060,0.5753,0.5416,0.5084,0.4758,0.4369,0.3919,0.3524,0.3185,0.2828,0.2456,0.2118,0.1813,0.1534,0.1280,0.1079,0.0932,0.0786,0.0642,0.0520,0.0419,0.0333,0.0261,0.0208,0.0173,0.0139,0.0106,0.0080,0.0063,0.0046,0.0028,0.0019,0.0021,0.0019,0.0015,0.0010,0.0005,0.0002,0.0002,0.0002,0.0003
27.00,0.0036,0.0053,0.0078,0.0106,0.0139,0.0187,0.0251,0.0335,0.0438,0.0557,0.0692,0.0851,0.1034,0.1259,0.1525,0.1793,0.2063,0.2403,0.2811,0.3237,0.3680,0.4107,0.4518,0.4916,0.5303,0.5716,0.6154,0.6534,0.6857,0.7156,0.7433,0.7676,0.7884,0.8079,0.8260,0.8361,0.8385,0.8390,0.8378,0.8318,0.8211,0.8031,0.7780,0.7508,0.7218,0.6882,0.6502,0.6088,0.5641,0.5176,0.4695,0.4235,0.3797,0.3375,0.2970,0.2586,0.2222,0.1896,0.1605,0.1349,0.1126,0.0933,0.0771,0.0636,0.0529,0.0429,0.0338,0.0265,0.0209,0.0162,0.0125,0.0095,0.0072,0.0053,0.0040,0.0031,0.0026,0.0021,0.0016,0.0011,0.0007,0.0005,0.0004,0.0003,0.0004
26.00,0.0046,0.0067,0.0098,0.0127,0.0155,0.0209,0.0287,0.0389,0.0512,0.0647,0.0796,0.0983,0.1209,0.1473,0.1775,0.2086,0.2406,0.2817,0.3317,0.3825,0.4341,0.4833,0.5301,0.5759,0.6207,0.6686,0.7197,0.7638,0.8010,0.8336,0.8617,0.8868,0.9087,0.9288,0.9471,0.9615,0.9721,0.9762,0.9740,0.9634,0.9447,0.9224,0.8965,0.8682,0.8375,0.8010,0.7588,0.7092,0.6524,0.5983,0.5471,0.4946,0.4410,0.3923,0.3484,0.3054,0.2631,0.2258,0.1931,0.1619,0.1319,0.1080,0.0899,0.0752,0.0639,0.0526,0.0415,0.0321,0.0244,0.0186,0.0145,0.0110,0.0080,0.0061,0.0052,0.0043,0.0032,0.0023,0.0017,0.0012,0.0009,0.0007,0.0006,0.0005,0.0005
25.00,0.0054,0.0076,0.0108,0.0145,0.0186,0.0249,0.0332,0.0443,0.0582,0.0736,0.0906,0.1129,0.1403,0.1727,0.2099,0.2482,0.2875,0.3336,0.3863,0.4414,0.4990,0.5566,0.6140,0.6679,0.7184,0.7714,0.8267,0.8771,0.9226,0.9605,0.9909,1.0206,1.0497,1.0737,1.0929,1.1067,1.1154,1.1175,1.1132,1.1039,1.0898,1.0666,1.0343,0.9997,0.9630,0.9221,0.8772,0.8240,0.7627,0.7026,0.6436,0.5834,0.5218,0.4650,0.4130,0.3642,0.3186,0.2757,0.2354,0.1985,0.1649,0.1361,0.1121,0.0922,0.0762,0.0623,0.0504,0.0403,0.0320,0.0248,0.0188,0.0139,0.0102,0.0076,0.0062,0.0049,0.0035,0.0026,0.0019,0.0015,0.0011,0.0009,0.0006,0.0005,0.0003
24.00,0.0063,0.0086,0.0118,0.0162,0.0217,0.0289,0.0376,0.0497,0.0652,0.0825,0.1015,0.1274,0.1597,0.1981,0.2423,0.2877,0.3344,0.3854,0.4409,0.5004,0.5639,0.6298,0.6979,0.7600,0.8161,0.8741,0.9337,0.9904,1.0443,1.0873,1.1200,1.1544,1.1907,1.2187,1.2386,1.2519,1.2588,1.2589,1.2524,1.2444,1.2351,1.2108,1.1720,1.1312,1.0884,1.0432,0.9956,0.9388,0.8730,0.8068,0.7402,0.6721,0.6026,0.5378,0.4777,0.4232,0.3741,0.3256,0.2776,0.2350,0.1978,0.1643,0.1343,0.1091,0.0885,0.0719,0.0593,0.0485,0.0395,0.0310,0.0230,0.0168,0.0123,0.0091,0.0072,0.0054,0.0039,0.0028,0.0022,0.0017,0.0014,0.0011,0.0007,0.0004,0.0002
23.00,0.0070,0.0099,0.0138,0.0187,0.0246,0.0327,0.0430,0.0565,0.0731,0.0931,0.1163,0.1462,0.1828,0.2243,0.2708,0.3211,0.3751,0.4331,0.4950,0.5641,0.6401,0.7139,0.7856,0.8537,0.9184,0.9848,1.0527,1.1149,1.1714,1.2176,1.2537,1.2901,1.3266,1.3547,1.3746,1.3862,1.3898,1.3915,1.3913,1.3842,1.3704,1.3477,1.3164,1.2782,1.2331,1.1821,1.1252,1.0617,0.9920,0.9220,0.8517,0.7776,0.6999,0.6276,0.5604,0.4974,0.4382,0.3809,0.3256,0.2770,0.2350,0.1964,0.1612,0.1319,0.1083,0.0879,0.0705,0.0567,0.0463,0.0367,0.0278,0.0209,0.0159,0.0120,0.0091,0.0067,0.0050,0.0037,0.0027,0.0021,0.0017,0.0014,0.0010,0.0008,0.0005
22.00,0.0077,0.0113,0.0158,0.0212,0.0275,0.0366,0.0485,0.0633,0.0811,0.1037,0.1310,0.1651,0.2058,0.2506,0.2993,0.3545,0.4160,0.4809,0.5493,0.6278,0.7162,0.7979,0.8732,0.9474,1.0208,1.0956,1.1718,1.2394,1.2985,1.3478,1.3875,1.4257,1.4625,1.4907,1.5106,1.5206,1.5209,1.5241,1.5301,1.5239,1.5057,1.4847,1.4608,1.4251,1.3779,1.3210,1.2547,1.1847,1.1110,1.0372,0.9631,0.8831,0.7972,0.7173,0.6433,0.5715,0.5022,0.4362,0.3737,0.3190,0.2722,0.2285,0.1881,0.1546,0.1281,0.1038,0.0818,0.0649,0.0532,0.0424,0.0325,0.0249,0.0195,0.0148,0.0109,0.0080,0.0060,0.0045,0.0033,0.0025,0.0020,0.0016,0.0014,0.0011,0.0008
