y_mm \ x_mm,-40.00,-39.00,-38.00,-37.00,-36.00,-35.00,-34.00,-33.00,-32.00,-31.00,-30.00,-29.00,-28.00,-27.00,-26.00,-25.00,-24.00,-23.00,-22.00,-21.00,-20.00,-19.00,-18.00,-17.00,-16.00,-15.00,-14.00,-13.00,-12.00,-11.00,-10.00,-9.00,-8.00,-7.00,-6.00,-5.00,-4.00,-3.00,-2.00,-1.00,0.00,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00
36.00,0.0006,0.0007,0.0010,0.0014,0.0019,0.0023,0.0031,0.0044,0.0055,0.0067,0.0091,0.0128,0.0158,0.0183,0.0215,0.0253,0.0307,0.0375,0.0447,0.0523,0.0601,0.0683,0.0762,0.0838,0.0939,0.1063,0.1155,0.1215,0.1311,0.1443,0.1539,0.1598,0.1647,0.1687,0.1729,0.1775,0.1804,0.1818,0.1802,0.1758,0.1732,0.1724,0.1670,0.1574,0.1499,0.1445,0.1392,0.1340,0.1265,0.1169,0.1081,0.1003,0.0911,0.0804,0.0720,0.0658,0.0598,0.0539,0.0473,0.0400,0.0343,0.0304,0.0259,0.0211,0.0174,0.0148,0.0123,0.0099,0.0079,0.0066,0.0054,0.0045,0.0037,0.0029,0.0025,0.0022,0.0019,0.0012,0.0009,0.0007,0.0005,0.0003,0.0002
35.00,0.0007,0.0010,0.0013,0.0017,0.0022,0.0031,0.0040,0.0052,0.0066,0.0082,0.0109,0.0147,0.0188,0.0231,0.0279,0.0331,0.0396,0.0473,0.0558,0.0652,0.0752,0.0860,0.0960,0.1053,0.1176,0.1330,0.1466,0.1585,0.1711,0.1845,0.1946,0.2017,0.2099,0.2191,0.2253,0.2285,0.2309,0.2323,0.2307,0.2261,0.2224,0.2194,0.2138,0.2056,0.1976,0.1897,0.1812,0.1721,0.1618,0.1502,0.1394,0.1292,0.1182,0.1063,0.0959,0.0869,0.0783,0.0702,0.0621,0.0540,0.0464,0.0393,0.0330,0.0274,0.0228,0.0190,0.0159,0.0134,0.0110,0.0088,0.0072,0.0061,0.0049,0.0037,0.0028,0.0024,0.0018,0.0010,0.0007,0.0007,0.0006,0.0004,0.0003
34.00,0.0009,0.0013,0.0016,0.0019,0.0026,0.0038,0.0050,0.0061,0.0077,0.0096,0.0126,0.0167,0.0217,0.0279,0.0342,0.0409,0.0485,0.0571,0.0670,0.0780,0.0903,0.1037,0.1158,0.1268,0.1414,0.1597,0.1778,0.1955,0.2111,0.2245,0.2354,0.2437,0.2551,0.2695,0.2776,0.2796,0.2814,0.2828,0.2812,0.2765,0.2716,0.2665,0.2605,0.2537,0.2452,0.2348,0.2232,0.2103,0.1970,0.1836,0.1705,0.1580,0.1453,0.1324,0.1199,0.1080,0.0969,0.0865,0.0769,0.0680,0.0584,0.0482,0.0400,0.0337,0.0281,0.0231,0.0194,0.0169,0.0141,0.0112,0.0090,0.0076,0.0061,0.0044,0.0032,0.0025,0.0017,0.0009,0.0006,0.0008,0.0007,0.0005,0.0003
33.00,0.0010,0.0015,0.0020,0.0026,0.0034,0.0045,0.0063,0.0088,0.0110,0.0131,0.0167,0.0219,0.0275,0.0336,0.0414,0.0506,0.0609,0.0722,0.0847,0.0984,0.1130,0.1284,0.1448,0.1621,0.1815,0.2030,0.2230,0.2416,0.2597,0.2773,0.2926,0.3058,0.3186,0.3310,0.3390,0.3426,0.3457,0.3483,0.3479,0.3446,0.3391,0.3316,0.3244,0.3176,0.3079,0.2953,0.2805,0.2633,0.2470,0.2314,0.2156,0.1994,0.1837,0.1685,0.1542,0.1408,0.1266,0.1115,0.0978,0.0856,0.0738,0.0625,0.0529,0.0450,0.0379,0.0318,0.0264,0.0218,0.0176,0.0139,0.0109,0.0088,0.0070,0.0057,0.0045,0.0035,0.0024,0.0014,0.0009,0.0007,0.0006,0.0004,0.0002
32.00,0.0010,0.0017,0.0024,0.0033,0.0042,0.0052,0.0076,0.0114,0.0144,0.0166,0.0208,0.0271,0.0332,0.0395,0.0485,0.0603,0.0732,0.0872,0.1024,0.1188,0.1358,0.1531,0.1737,0.1975,0.2217,0.2462,0.2682,0.2877,0.3083,0.3300,0.3498,0.3678,0.3820,0.3926,0.4004,0.4055,0.4100,0.4138,0.4146,0.4126,0.4066,0.3967,0.3883,0.3814,0.3705,0.3558,0.3377,0.3164,0.2969,0.2793,0.2606,0.2407,0.2221,0.2047,0.1885,0.1737,0.1563,0.1365,0.1188,0.1032,0.0892,0.0768,0.0658,0.0562,0.0477,0.0404,0.0333,0.0267,0.0211,0.0166,0.0129,0.0099,0.0080,0.0070,0.0059,0.0045,0.0032,0.0019,0.0011,0.0007,0.0004,0.0003,0.0001
31.00,0.0016,0.0023,0.0031,0.0040,0.0052,0.0066,0.0093,0.0133,0.0170,0.0207,0.0260,0.0329,0.0409,0.0499,0.0612,0.0750,0.0901,0.1066,0.1247,0.1443,0.1651,0.1870,0.2118,0.2394,0.2666,0.2933,0.3204,0.3480,0.3736,0.3974,0.4206,0.4434,0.4620,0.4766,0.4880,0.4961,0.5030,0.5085,0.5077,0.5007,0.4941,0.4877,0.4770,0.4618,0.4468,0.4318,0.4137,0.3925,0.3711,0.3494,0.3260,0.3010,0.2785,0.2586,0.2373,0.2147,0.1926,0.1711,0.1507,0.1316,0.1144,0.0992,0.0849,0.0717,0.0603,0.0509,0.0424,0.0347,0.0281,0.0223,0.0177,0.0140,0.0110,0.0087,0.0067,0.0049,0.0035,0.0024,0.0016,0.0012,0.0009,0.0008,0.0006
30.00,0.0022,0.0029,0.0038,0.0048,0.0062,0.0080,0.0110,0.0151,0.0197,0.0247,0.0311,0.0388,0.0485,0.0603,0.0740,0.0896,0.1070,0.1260,0.1469,0.1698,0.1944,0.2210,0.2500,0.2813,0.3115,0.3404,0.3727,0.4082,0.4389,0.4647,0.4914,0.5190,0.5421,0.5607,0.5756,0.5868,0.5960,0.6032,0.6007,0.5888,0.5815,0.5787,0.5656,0.5422,0.5230,0.5079,0.4897,0.4687,0.4452,0.4195,0.3915,0.3612,0.3349,0.3126,0.2861,0.2556,0.2288,0.2056,0.1827,0.1600,0.1397,0.1216,0.1041,0.0872,0.0730,0.0614,0.0514,0.0428,0.0350,0.0280,0.0224,0.0181,0.0141,0.0104,0.0075,0.0054,0.0038,0.0028,0.0021,0.0017,0.0014,0.0013,0.0010
29.00,0.0023,0.0031,0.0041,0.0054,0.0074,0.0101,0.0135,0.0174,0.0226,0.0293,0.0375,0.0472,0.0585,0.0715,0.0872,0.1059,0.1260,0.1476,0.1732,0.2027,0.2328,0.2635,0.2980,0.3363,0.3729,0.4078,0.4455,0.4859,0.5226,0.5556,0.5861,0.6142,0.6401,0.6638,0.6804,0.6899,0.6997,0.7099,0.7106,0.7020,0.6942,0.6870,0.6703,0.6443,0.6237,0.6084,0.5877,0.5618,0.5339,0.5039,0.4717,0.4373,0.4047,0.3738,0.3428,0.3118,0.2823,0.2541,0.2257,0.1971,0.1720,0.1503,0.1296,0.1099,0.0926,0.0777,0.0642,0.0521,0.0421,0.0342,0.0274,0.0218,0.0170,0.0128,0.0094,0.0067,0.0048,0.0036,0.0027,0.0019,0.0015,0.0014,0.0011
28.00,0.0025,0.0033,0.0045,0.0060,0.0086,0.0122,0.0159,0.0197,0.0256,0.0338,0.0438,0.0556,0.0686,0.0826,0.1005,0.1222,0.1451,0.1692,0.1994,0.2357,0.2712,0.3060,0.3461,0.3913,0.4343,0.4752,0.5183,0.5636,0.6063,0.6465,0.6808,0.7094,0.7381,0.7670,0.7852,0.7930,0.8035,0.8166,0.8204,0.8152,0.8068,0.7952,0.7750,0.7464,0.7244,0.7089,0.6857,0.6550,0.6225,0.5882,0.5519,0.5134,0.4744,0.4350,0.3996,0.3680,0.3357,0.3026,0.2688,0.2342,0.2044,0.1790,0.1551,0.1325,0.1122,0.0940,0.0770,0.0614,0.0491,0.0403,0.0325,0.0255,0.0198,0.0152,0.0113,0.0080,0.0058,0.0045,0.0033,0.0022,0.0016,0.0015,0.0013
27.00,0.0029,0.0043,0.0057,0.0070,0.0096,0.0134,0.0180,0.0232,0.0308,0.0407,0.0527,0.0665,0.0822,0.0996,0.1208,0.1458,0.1734,0.2036,0.2376,0.2754,0.3166,0.3612,0.4091,0.4603,0.5090,0.5554,0.6019,0.6486,0.6940,0.7383,0.7799,0.8188,0.8523,0.8804,0.9009,0.9140,0.9269,0.9397,0.9421,0.9342,0.9264,0.9187,0.9021,0.8767,0.8509,0.8248,0.7959,0.7645,0.7295,0.6912,0.6518,0.6115,0.5686,0.5229,0.4797,0.4388,0.3991,0.3607,0.3220,0.2831,0.2485,0.2180,0.1884,0.1599,0.1344,0.1119,0.0922,0.0750,0.0608,0.0495,0.0395,0.0308,0.0238,0.0185,0.0140,0.0102,0.0074,0.0056,0.0042,0.0031,0.0024,0.0018,0.0013
